generation,best_fitness,avg_fitness,worst_fitness
1,66.21784973144531,74.0890121459961,87.50993347167969
2,64.10322570800781,73.04167938232422,84.26187133789062
3,64.0904541015625,72.4751968383789,83.14704895019531
4,63.88132858276367,71.43299865722656,79.34440612792969
5,63.09518051147461,70.95568084716797,77.87928771972656
6,63.09518051147461,70.7584228515625,78.44390106201172
7,62.42668914794922,70.00928497314453,77.53104400634766
8,62.34954833984375,69.42049407958984,75.48707580566406
9,62.32121276855469,69.58023834228516,76.56253051757812
10,62.310157775878906,68.9061508178711,76.17706298828125
11,61.493980407714844,68.98847961425781,82.19109344482422
12,61.47084426879883,68.83155059814453,80.77082824707031
13,58.282440185546875,67.78976440429688,75.28282165527344
14,58.106285095214844,67.3993911743164,76.12203979492188
15,58.060157775878906,67.34813690185547,78.20074462890625
16,58.02587890625,66.63111877441406,75.38324737548828
17,57.97948455810547,65.99210357666016,75.23681640625
18,57.66337585449219,65.13048553466797,72.51631164550781
19,57.66303634643555,65.24163818359375,74.58611297607422
20,56.85728073120117,64.74539947509766,72.56803131103516
21,56.84986114501953,64.756103515625,71.8802261352539
22,56.8292121887207,64.26801300048828,70.14933776855469
23,54.871700286865234,64.03764343261719,71.45154571533203
24,54.824092864990234,63.576114654541016,72.50505828857422
25,54.80819320678711,63.13972091674805,72.50267791748047
26,54.80316925048828,62.999610900878906,70.9488296508789
27,54.78199005126953,62.358333587646484,69.16190338134766
28,54.77020263671875,61.81196594238281,68.1131820678711
29,54.417884826660156,61.9873046875,69.55717468261719
30,54.31686782836914,61.59834671020508,70.05313110351562
31,54.282142639160156,61.707374572753906,69.59730529785156
32,54.28135299682617,61.297813415527344,67.10111236572266
33,54.06861114501953,61.088829040527344,67.04017639160156
34,53.984256744384766,61.336021423339844,68.03428649902344
35,53.97384262084961,61.16359329223633,66.6391830444336
36,53.05278778076172,61.16154861450195,68.8318099975586
37,53.016456604003906,60.61479187011719,67.00630187988281
38,52.90380096435547,60.602684020996094,68.71412658691406
39,52.90182113647461,60.884708404541016,68.45661163330078
40,52.867496490478516,60.67981719970703,68.25894165039062
41,52.66303253173828,60.32928466796875,68.0049819946289
42,52.66012191772461,60.3753662109375,67.4817886352539
43,52.65890884399414,60.15838623046875,66.88910675048828
44,52.65704345703125,59.673301696777344,65.13186645507812
45,52.59603500366211,59.50243377685547,65.99214172363281
46,52.59210205078125,59.3215446472168,64.7377700805664
47,52.56999206542969,59.54458236694336,66.91500091552734
48,52.54634094238281,59.54970169067383,64.8498306274414
49,52.40444564819336,59.285037994384766,63.88855743408203
50,52.38766098022461,59.504493713378906,66.28166961669922
51,52.3852653503418,58.9906120300293,65.55343627929688
52,52.378570556640625,58.85516357421875,66.14848327636719
53,52.369930267333984,58.963111877441406,64.67112731933594
54,52.36867141723633,58.84981918334961,64.5561752319336
55,52.34368133544922,58.2658576965332,63.463592529296875
56,52.31256866455078,58.455936431884766,63.12919616699219
57,52.29289627075195,58.722564697265625,64.18762969970703
58,52.28515625,58.60559844970703,64.10321807861328
59,52.28515625,58.201602935791016,65.61317443847656
60,52.17909240722656,58.14923858642578,63.26320266723633
61,52.12156295776367,58.37903594970703,64.86795043945312
62,52.1016731262207,58.06119918823242,67.59268951416016
63,52.03540802001953,58.6196174621582,65.4653549194336
64,52.029571533203125,58.05846405029297,64.57157135009766
65,51.981449127197266,58.1523323059082,65.01004791259766
66,51.868064880371094,57.811378479003906,62.8197021484375
